,CHN2,RGS16,CCL3,HAVCR2,RBPJ,NKG7,TNFRSF9,CXCR6,ITGAV,LAG3,SETBP1,TMEM163,CCL4
Gamma delta T cells,0,0,0,0,0,9,0,0,0,0,0,0,1
NK cells,0,0,0,0,0,6,0,0,0,0,0,0,0
Macrophages,0,0,0,0,0,0,0,0,0,0,0,0,4
Neutrophils,0,0,0,0,0,0,0,0,0,0,0,0,2
Basophils,0,0,6,0,0,0,0,0,0,0,0,0,3
Microglia,0,0,5,0,0,0,0,0,0,0,0,0,13
