Species,Gene,Study/sample identifier,Cluster Index,Sampled Tissue,Inferred Cell Type,Rank
Homo_sapiens	ARHGAP31	SRA826293_SRS4181129	18	Testis	Endothelial cells	2112
Homo_sapiens	DENND4A	SRA728025_SRS3454421	8	Inflamed area of colon	B cells	407
Homo_sapiens	DENND4A	SRA742961_SRS3565195	14	Prostate	Cholangiocytes	490
Homo_sapiens	DENND4A	SRA728025_SRS3454428	15	Colon	Dendritic cells	600
Homo_sapiens	DENND4A	SRA700673_SRS3270097	6	Brain	Unknown	1393
Homo_sapiens	DENND4A	SRA779509_SRS3805262	7	Bone marrow	Erythroid-like and erythroid precursor cells	3355
Homo_sapiens	DGAT1	SRA728025_SRS3454427	2	Colon	Epithelial cells	311
Homo_sapiens	DGAT1	SRA728025_SRS3454425	0	Colon	Epithelial cells	523
Homo_sapiens	DGAT1	SRA728025_SRS3454428	5	Colon	Epithelial cells	599
Homo_sapiens	DGAT1	SRA728025_SRS3454421	7	Inflamed area of colon	Epithelial cells	705
Homo_sapiens	DGAT1	SRA728025_SRS3454426	3	Colon	Enterocytes	808
Homo_sapiens	DGAT1	SRA728025_SRS3454430	1	Colon	Enterocytes	818
Homo_sapiens	DGAT1	SRA728025_SRS3454427	9	Colon	Epithelial cells	836
Homo_sapiens	DGAT1	SRA728025_SRS3454425	3	Colon	Enterocytes	932
Homo_sapiens	DGAT1	SRA728025_SRS3454430	12	Colon	Enterocytes	972
Homo_sapiens	DGAT1	SRA728025_SRS3454424	5	Colon	Cholangiocytes	997
Homo_sapiens	DGAT1	SRA728025_SRS3454426	5	Colon	Epithelial cells	1328
Homo_sapiens	DGAT1	SRA728025_SRS3454425	5	Colon	Cholangiocytes	1511
Homo_sapiens	DGAT1	SRA710104_SRS3334254	3	Adipose	Unknown	1730
Homo_sapiens	DGAT1	SRA728025_SRS3454424	3	Colon	Cholangiocytes	1755
Homo_sapiens	DGAT1	SRA728025_SRS3454427	8	Colon	Cholangiocytes	1925
Homo_sapiens	DGAT1	SRA728025_SRS3454428	4	Colon	Cholangiocytes	2016
Homo_sapiens	DGAT1	SRA728025_SRS3454424	4	Colon	Goblet cells	2021
Homo_sapiens	DGAT1	SRA826293_SRS4181128	10	Testis	Germ cells	2251
Homo_sapiens	DGAT1	SRA728025_SRS3454430	6	Colon	Cholangiocytes	2688
Homo_sapiens	DGAT1	SRA645804_SRS3572594	1	Testis	Germ cells	2777
Homo_sapiens	DGAT1	SRA645804_SRS2823410	3	Testis	Germ cells	2871
Homo_sapiens	DGAT1	SRA728025_SRS3454425	7	Colon	Cholangiocytes	2934
Homo_sapiens	DGAT1	SRA645804_SRS2823408	11	Testis	Germ cells	2971
Homo_sapiens	DGAT1	SRA645804_SRS2823410	1	Testis	Germ cells	2982
Homo_sapiens	DGAT1	SRA645804_SRS2823410	4	Testis	Germ cells	2992
Homo_sapiens	DGAT1	SRA728025_SRS3454424	1	Colon	Cholangiocytes	3075
Homo_sapiens	DGAT1	SRA645804_SRS2823408	1	Testis	Germ cells	3091
Homo_sapiens	DGAT1	SRA645804_SRS2823406	3	Testis	Germ cells	3133
Homo_sapiens	DGAT1	SRA645804_SRS2823410	9	Testis	Germ cells	3156
Homo_sapiens	DGAT1	SRA645804_SRS2823408	2	Testis	Germ cells	3301
Homo_sapiens	DGAT1	SRA645804_SRS2823410	12	Testis	Germ cells	3309
Homo_sapiens	DGAT1	SRA645804_SRS3572594	4	Testis	Germ cells	3352
Homo_sapiens	DGAT1	SRA645804_SRS2823412	4	Testis	Germ cells	3730
Homo_sapiens	DGAT1	SRA608611_SRS2517316	9	Lung progenitors	Unknown	3747
Homo_sapiens	DGAT1	SRA728025_SRS3454422	9	Colon	Basal cells	3808
Homo_sapiens	DGAT1	SRA645804_SRS2823412	2	Testis	Germ cells	3838
Homo_sapiens	DGAT1	SRA645804_SRS2823410	7	Testis	Germ cells	3869
Homo_sapiens	DGAT1	SRA728025_SRS3454421	11	Inflamed area of colon	Basal cells	3943
Homo_sapiens	DGAT1	SRA728025_SRS3454423	9	Colon	Basal cells	3952
Homo_sapiens	DGAT1	SRA645804_SRS2823410	5	Testis	Germ cells	4056
Homo_sapiens	DGAT1	SRA645804_SRS2823408	12	Testis	Germ cells	4072
Homo_sapiens	DGAT1	SRA645804_SRS2823410	10	Testis	Germ cells	4960
Homo_sapiens	EMB	SRA826293_SRS4181129	17	Testis	NK cells	200
Homo_sapiens	EMB	SRA640325_SRS2769050	17	Lung distal alveolar stromal cells	Mesothelial cells	322
Homo_sapiens	EMB	SRA740174_SRS3548780	4	Bone marrow	Neutrophils	489
Homo_sapiens	EMB	SRA779509_SRS3805258	15	Bone marrow	Neutrophils	498
Homo_sapiens	EMB	SRA665712_SRS3034950	5	T cells	T cells	513
Homo_sapiens	EMB	SRA740174_SRS3548781	6	Bone marrow	Langerhans cells	752
Homo_sapiens	EMB	SRA665712_SRS3034950	12	T cells	T cells	773
Homo_sapiens	EMB	SRA740174_SRS3548783	7	Bone marrow	Langerhans cells	825
Homo_sapiens	EMB	SRA621638_SRS2610283	8	Bone marrow	Plasmacytoid dendritic cells	826
Homo_sapiens	EMB	SRA665712_SRS3034950	4	T cells	T cells	861
Homo_sapiens	EMB	SRA779509_SRS3805255	21	Bone marrow	B cells	950
Homo_sapiens	EMB	SRA779509_SRS3805269	20	Bone marrow	T cells	1009
Homo_sapiens	EMB	SRA640325_SRS2769051	18	Lung proximal airway stromal cells	Mesothelial cells	1035
Homo_sapiens	EMB	SRA719952_SRS3407249	9	NK cells	Gamma delta T cells	1040
Homo_sapiens	EMB	SRA665712_SRS3034953	30	T cells	T cells	1122
Homo_sapiens	EMB	SRA740174_SRS3548781	5	Bone marrow	Unknown	1210
Homo_sapiens	EMB	SRA740174_SRS3548783	2	Bone marrow	Unknown	1210
Homo_sapiens	EMB	SRA779509_SRS3805263	19	Bone marrow	T cells	1234
Homo_sapiens	EMB	SRA779509_SRS3805262	14	Bone marrow	Erythroid-like and erythroid precursor cells	1302
Homo_sapiens	EMB	SRA740174_SRS3548781	1	Bone marrow	Unknown	1395
Homo_sapiens	EMB	SRA779509_SRS3805245	13	Bone marrow	Dendritic cells	1406
Homo_sapiens	EMB	SRA640325_SRS2769051	9	Lung proximal airway stromal cells	Luminal epithelial cells	1535
Homo_sapiens	EMB	SRA779509_SRS3805254	20	Bone marrow	B cells	1550
Homo_sapiens	EMB	SRA740174_SRS3548780	5	Bone marrow	Unknown	1868
Homo_sapiens	EMB	SRA605365_SRS2492922	8	Nasal airway epithelium	Basal cells	2371
Homo_sapiens	GPR183	SRA550660_SRS2089637	13	Peripheral blood mononuclear cells	Langerhans cells	115
Homo_sapiens	GPR183	SRA742961_SRS3565211	12	Prostate	Dendritic cells	125
Homo_sapiens	GPR183	SRA550660_SRS2089637	8	Peripheral blood mononuclear cells	Dendritic cells	129
Homo_sapiens	GPR183	SRA742961_SRS3565210	12	Prostate	Dendritic cells	136
Homo_sapiens	GPR183	SRA728025_SRS3454428	15	Colon	Dendritic cells	136
Homo_sapiens	GPR183	SRA742961_SRS3565207	14	Prostate	Dendritic cells	154
Homo_sapiens	GPR183	SRA550660_SRS2089639	7	Peripheral blood mononuclear cells	Monocytes	159
Homo_sapiens	GPR183	SRA742961_SRS3565209	10	Prostate	Langerhans cells	159
Homo_sapiens	GPR183	SRA742961_SRS3565202	16	Prostate	Dendritic cells	163
Homo_sapiens	GPR183	SRA779509_SRS3805256	16	Bone marrow	Plasmacytoid dendritic cells	165
Homo_sapiens	GPR183	SRA550660_SRS2089639	1	Peripheral blood mononuclear cells	Monocytes	166
Homo_sapiens	GPR183	SRA742961_SRS3565199	15	Prostate	Dendritic cells	170
Homo_sapiens	GPR183	SRA550660_SRS2089637	2	Peripheral blood mononuclear cells	T cells	179
Homo_sapiens	GPR183	SRA711898_SRS3349280	3	Tonsil	Dendritic cells	186
Homo_sapiens	GPR183	SRA550660_SRS2089639	11	Peripheral blood mononuclear cells	Monocytes	186
Homo_sapiens	GPR183	SRA711898_SRS3349280	5	Tonsil	Dendritic cells	187
Homo_sapiens	GPR183	SRA550660_SRS2089639	9	Peripheral blood mononuclear cells	Monocytes	190
Homo_sapiens	GPR183	SRA767234_SRS3741870	2	Tonsil CD14+ cells	Dendritic cells	195
Homo_sapiens	GPR183	SRA779509_SRS3805258	16	Bone marrow	Plasmacytoid dendritic cells	197
Homo_sapiens	GPR183	SRA767234_SRS3741870	11	Tonsil CD14+ cells	Plasmacytoid dendritic cells	197
Homo_sapiens	GPR183	SRA716153_SRS3384793	7	CD34+ cord blood cells	Dendritic cells	199
Homo_sapiens	GPR183	SRA645804_SRS2823412	14	Testis	Dendritic cells	205
Homo_sapiens	GPR183	SRA728025_SRS3454427	13	Colon	Dendritic cells	205
Homo_sapiens	GPR183	SRA550660_SRS2089636	5	Peripheral blood mononuclear cells	Plasmacytoid dendritic cells	206
Homo_sapiens	GPR183	SRA779509_SRS3805250	13	Bone marrow	Dendritic cells	206
Homo_sapiens	GPR183	SRA779509_SRS3805257	16	Bone marrow	Langerhans cells	210
Homo_sapiens	GPR183	SRA550660_SRS2089637	6	Peripheral blood mononuclear cells	T cells	213
Homo_sapiens	GPR183	SRA779509_SRS3805261	11	Bone marrow	Dendritic cells	213
Homo_sapiens	GPR183	SRA667709_SRS3065431	12	Testicle	Dendritic cells	217
Homo_sapiens	GPR183	SRA711898_SRS3349280	0	Tonsil	Dendritic cells	218
Homo_sapiens	GPR183	SRA550660_SRS2089638	5	Peripheral blood mononuclear cells	Dendritic cells	219
Homo_sapiens	GPR183	SRA716153_SRS3384793	1	CD34+ cord blood cells	Dendritic cells	230
Homo_sapiens	GPR183	SRA779509_SRS3805255	20	Bone marrow	Plasmacytoid dendritic cells	230
Homo_sapiens	GPR183	SRA640325_SRS2769050	16	Lung distal alveolar stromal cells	T cells	231
Homo_sapiens	GPR183	SRA779509_SRS3805258	14	Bone marrow	Dendritic cells	232
Homo_sapiens	GPR183	SRA878024_SRS4660845	6	Lungs	Dendritic cells	232
Homo_sapiens	GPR183	SRA779509_SRS3805267	12	Bone marrow	Dendritic cells	242
Homo_sapiens	GPR183	SRA728025_SRS3454421	13	Inflamed area of colon	Dendritic cells	246
Homo_sapiens	GPR183	SRA767234_SRS3741870	6	Tonsil CD14+ cells	Dendritic cells	248
Homo_sapiens	GPR183	SRA667709_SRS3065430	15	Testicle	Dendritic cells	253
Homo_sapiens	GPR183	SRA721637_SRS3416994	0	B cells	B cells	256
Homo_sapiens	GPR183	SRA779509_SRS3805259	17	Bone marrow	Plasmacytoid dendritic cells	257
Homo_sapiens	GPR183	SRA779509_SRS3805268	17	Bone marrow	Plasmacytoid dendritic cells	258
Homo_sapiens	GPR183	SRA767234_SRS3741870	9	Tonsil CD14+ cells	Dendritic cells	258
Homo_sapiens	GPR183	SRA779509_SRS3805265	13	Bone marrow	Plasmacytoid dendritic cells	264
Homo_sapiens	GPR183	SRA721637_SRS3416994	4	B cells	B cells	277
Homo_sapiens	GPR183	SRA779509_SRS3805259	11	Bone marrow	Dendritic cells	280
Homo_sapiens	GPR183	SRA779509_SRS3805245	18	Bone marrow	Plasmacytoid dendritic cells	284
Homo_sapiens	GPR183	SRA550660_SRS2089638	6	Peripheral blood mononuclear cells	Plasmacytoid dendritic cells	286
Homo_sapiens	GPR183	SRA779509_SRS3805266	13	Bone marrow	Dendritic cells	290
Homo_sapiens	GPR183	SRA779509_SRS3805266	16	Bone marrow	Plasmacytoid dendritic cells	290
Homo_sapiens	GPR183	SRA779509_SRS3805246	19	Bone marrow	Langerhans cells	291
Homo_sapiens	GPR183	SRA716153_SRS3384793	3	CD34+ cord blood cells	Dendritic cells	294
Homo_sapiens	GPR183	SRA779509_SRS3805263	18	Bone marrow	Plasmacytoid dendritic cells	297
Homo_sapiens	GPR183	SRA779509_SRS3805254	18	Bone marrow	Plasmacytoid dendritic cells	302
Homo_sapiens	GPR183	SRA768499_SRS3744990	2	NK cells from spleen	Unknown	305
Homo_sapiens	GPR183	SRA779509_SRS3805246	14	Bone marrow	Dendritic cells	309
Homo_sapiens	GPR183	SRA779509_SRS3805253	12	Bone marrow	Dendritic cells	309
Homo_sapiens	GPR183	SRA767234_SRS3741870	7	Tonsil CD14+ cells	Dendritic cells	319
Homo_sapiens	GPR183	SRA779509_SRS3805252	16	Bone marrow	Plasmacytoid dendritic cells	323
Homo_sapiens	GPR183	SRA878024_SRS4660847	1	Lungs	Langerhans cells	323
Homo_sapiens	GPR183	SRA716153_SRS3384792	6	CD34+ cord blood cells	T memory cells	333
Homo_sapiens	GPR183	SRA711898_SRS3349280	7	Tonsil	Dendritic cells	337
Homo_sapiens	GPR183	SRA779509_SRS3805245	13	Bone marrow	Dendritic cells	351
Homo_sapiens	GPR183	SRA779509_SRS3805256	15	Bone marrow	Dendritic cells	352
Homo_sapiens	GPR183	SRA767234_SRS3741870	12	Tonsil CD14+ cells	Dendritic cells	371
Homo_sapiens	GPR183	SRA719952_SRS3407249	5	NK cells	NK cells	379
Homo_sapiens	GPR183	SRA703206_SRS3296611	14	Colon	T cells	384
Homo_sapiens	GPR183	SRA779509_SRS3805265	12	Bone marrow	Langerhans cells	384
Homo_sapiens	GPR183	SRA711898_SRS3349280	12	Tonsil	Dendritic cells	386
Homo_sapiens	GPR183	SRA767234_SRS3741870	0	Tonsil CD14+ cells	Dendritic cells	389
Homo_sapiens	GPR183	SRA667709_SRS3065429	11	Testicle	Dendritic cells	392
Homo_sapiens	GPR183	SRA645804_SRS2823409	20	Testis	Dendritic cells	393
Homo_sapiens	GPR183	SRA667709_SRS3065426	10	Testicle	Dendritic cells	398
Homo_sapiens	GPR183	SRA878024_SRS4660848	2	Lungs	Langerhans cells	408
Homo_sapiens	GPR183	SRA667709_SRS3065427	9	Testicle	Dendritic cells	411
Homo_sapiens	GPR183	SRA621638_SRS2610283	8	Bone marrow	Plasmacytoid dendritic cells	417
Homo_sapiens	GPR183	SRA779509_SRS3805269	19	Bone marrow	Langerhans cells	421
Homo_sapiens	GPR183	SRA728025_SRS3454428	13	Colon	T cells	421
Homo_sapiens	GPR183	SRA716153_SRS3384793	5	CD34+ cord blood cells	Langerhans cells	427
Homo_sapiens	GPR183	SRA779509_SRS3805254	15	Bone marrow	Dendritic cells	429
Homo_sapiens	GPR183	SRA779509_SRS3805247	16	Bone marrow	Plasmacytoid dendritic cells	438
Homo_sapiens	GPR183	SRA711898_SRS3349280	14	Tonsil	Dendritic cells	450
