,ZBTB20,UTRN,MTCO2,TCF12,STAT4,MTND2,MTCYTB,CCND3,ST6GALNAC3,MTATP6,TRPS1,ARL15,MTCO3
Neuroblasts,0,0,0,0,0,0,1,0,0,0,0,0,0
Ciliated cells,0,0,0,0,0,2,2,0,0,0,0,0,0
Airway goblet cells,0,0,0,0,0,1,3,0,0,0,0,0,0
Myofibroblasts,0,0,0,0,0,0,1,0,0,0,0,0,0
Luteal cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Retinal progenitor cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Cajal-Retzius cells,0,0,0,0,0,0,10,0,0,0,0,0,0
Tanycytes,4,0,0,0,0,1,12,0,0,0,0,0,0
Olfactory epithelial cells,0,0,0,0,0,0,4,0,0,0,0,0,0
GABAergic neurons,0,0,0,0,0,0,4,0,0,0,0,0,0
Photoreceptor cells,0,0,0,0,0,0,2,0,0,0,0,0,0
Juxtaglomerular cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Mller cells,0,0,0,0,0,0,1,0,0,0,0,0,0
