,ZBTB20,UTRN,MTCO2,TCF12,STAT4,MTND2,MTCYTB,CCND3,ST6GALNAC3,MTATP6,TRPS1,ARL15,MTCO3
Endothelial cells,0,0,27,0,0,23,270,0,0,19,0,0,28
B cells,0,0,9,0,0,5,57,0,0,3,0,0,9
Platelets,0,0,2,0,0,2,1,0,0,2,0,0,2
Gamma delta T cells,0,0,48,0,0,8,3,0,0,10,0,0,33
Erythroid-like and erythroid precursor cells,0,0,32,0,0,20,20,0,0,13,0,0,42
T cells,0,0,28,0,0,12,23,0,0,16,0,0,29
NK cells,0,0,31,0,0,5,4,0,0,4,0,0,17
T memory cells,0,0,1,0,0,0,29,0,0,0,0,0,0
Dendritic cells,0,0,68,0,0,21,3,0,0,13,0,0,63
Langerhans cells,0,0,23,0,0,12,0,0,0,14,0,0,19
Plasma cells,0,0,13,0,0,10,1,0,0,6,0,0,11
Pulmonary alveolar type II cells,0,0,3,0,0,12,45,0,0,4,0,0,11
Mesothelial cells,0,0,2,0,0,0,8,0,0,2,0,0,2
Basal cells,0,0,48,0,0,10,1,0,0,13,0,0,62
Plasmacytoid dendritic cells,0,0,3,0,0,0,1,0,0,0,0,0,0
Macrophages,0,0,9,0,0,8,39,0,0,8,0,0,10
Luminal epithelial cells,0,0,11,0,0,2,3,0,0,2,0,0,10
Enterocytes,0,0,18,0,0,19,121,0,0,22,0,0,25
Cholangiocytes,0,0,52,0,0,34,0,0,0,39,0,0,57
Ductal cells,0,0,25,0,0,3,0,0,0,4,0,0,21
Hepatocytes,0,0,41,0,0,46,26,0,0,42,0,0,40
Keratinocytes,0,0,6,0,0,4,36,0,0,5,0,0,7
Spermatocytes,0,0,29,0,0,28,0,0,0,29,0,0,31
Peritubular myoid cells,0,0,15,0,0,12,0,0,0,14,0,0,21
Germ cells,0,0,102,0,0,98,28,0,0,84,0,0,111
Fibroblasts,0,0,30,0,0,18,127,0,0,16,0,0,41
Smooth muscle cells,0,0,18,0,0,19,64,0,0,14,0,0,20
Epithelial cells,0,0,34,0,0,29,11,0,0,34,0,0,33
Goblet cells,0,0,17,0,0,15,18,0,0,15,0,0,18
Salivary mucous cells,0,0,2,0,0,2,1,0,0,1,0,0,2
Leydig cells,0,0,2,0,0,4,4,0,0,2,0,0,2
Pericytes,0,0,3,0,0,2,58,0,0,4,0,0,6
Clara cells,0,0,1,0,0,20,34,0,0,1,0,0,3
Enteroendocrine cells,0,0,14,0,0,22,25,0,0,12,0,0,15
Ependymal cells,5,0,5,0,0,12,48,0,0,6,0,0,6
B cells naive,0,0,4,0,0,1,0,0,0,1,0,0,1
Monocytes,0,0,8,0,0,1,0,0,0,1,0,0,6
Serotonergic neurons,0,0,1,0,0,0,0,0,0,1,0,0,1
Beta cells,0,0,21,0,0,20,27,0,0,5,0,0,20
Myoepithelial cells,0,0,1,0,0,1,9,0,0,3,0,0,3
Loop of Henle cells,0,0,1,0,0,1,0,0,0,1,0,0,1
Adipocytes,0,0,3,0,0,1,3,0,0,2,0,0,3
Pancreatic stellate cells,0,0,11,0,0,0,1,0,0,1,0,0,5
Mast cells,0,0,2,0,0,0,0,0,0,1,0,0,1
Enteric glia cells,0,0,2,0,0,2,0,0,0,0,0,0,1
Gamma (PP) cells,0,0,7,0,0,1,0,0,0,0,0,0,7
Oligodendrocyte progenitor cells,0,0,4,0,0,4,89,0,0,3,0,0,7
Neurons,5,0,20,0,0,69,295,0,0,26,0,0,42
Oligodendrocytes,0,0,7,0,0,4,173,0,0,8,0,0,10
Delta cells,0,0,7,0,0,0,4,0,0,0,0,0,7
Neutrophils,0,0,1,0,0,2,8,0,0,0,0,0,3
Astrocytes,0,0,0,0,0,40,153,0,0,4,0,0,6
Alpha cells,0,0,17,0,0,1,12,0,0,0,0,0,20
Mammary epithelial cells,0,0,0,0,0,0,6,0,0,0,0,0,0
Hepatic stellate cells,0,0,1,0,0,0,1,0,0,0,0,0,1
Acinar cells,0,0,5,0,0,11,29,0,0,5,0,0,4
Principal cells,0,0,2,0,0,7,7,0,0,2,0,0,1
Trigeminal neurons,0,0,8,0,0,16,54,0,0,8,0,0,10
Basophils,0,0,0,0,0,0,2,0,0,0,0,0,0
Hematopoietic stem cells,0,0,0,0,0,0,3,0,0,0,0,0,0
Myoblasts,0,0,0,0,0,0,6,0,0,0,0,0,0
Chondrocytes,0,0,0,0,0,2,12,0,0,0,0,0,0
Follicular cells,0,0,0,0,0,2,2,0,0,0,0,0,0
Cardiomyocytes,1,0,1,0,0,4,7,0,0,2,0,0,3
Alveolar macrophages,0,0,2,0,0,2,24,0,0,2,0,0,2
Parathyroid chief cells,0,0,0,0,0,0,1,0,0,0,0,0,0
Urothelial cells,0,0,0,0,0,0,4,0,0,0,0,0,0
Satellite cells,0,0,2,0,0,0,5,0,0,5,0,0,3
Kupffer cells,0,0,1,0,0,5,15,0,0,3,0,0,2
Distal tubule cells,0,0,20,0,0,45,45,0,0,32,0,0,34
Osteoblasts,0,0,3,0,0,6,33,0,0,4,0,0,3
Proximal tubule cells,0,0,28,0,0,54,67,0,0,38,0,0,34
Intercalated cells,0,0,5,0,0,18,18,0,0,10,0,0,8
Red pulp macrophages,0,0,1,0,0,7,23,0,0,12,0,0,10
Paneth cells,0,0,13,0,0,18,42,0,0,17,0,0,16
Microglia,0,0,1,0,0,1,37,0,0,1,0,0,1
Interneurons,1,0,1,0,0,4,24,0,0,1,0,0,1
Choroid plexus cells,0,0,0,0,0,4,4,0,0,2,0,0,0
Neuroendocrine cells,0,0,0,0,0,1,8,0,0,1,0,0,0
Anterior pituitary gland cells,0,0,0,0,0,3,25,0,0,1,0,0,3
Purkinje neurons,0,0,1,0,0,4,15,0,0,2,0,0,1
Pulmonary alveolar type I cells,0,0,0,0,0,1,13,0,0,1,0,0,0
Foveolar cells,0,0,2,0,0,3,12,0,0,0,0,0,6
Retinal ganglion cells,0,0,0,0,0,2,43,0,0,0,0,0,0
Nuocytes,0,0,0,0,0,0,4,0,0,0,0,0,0
Meningeal cells,0,0,0,0,0,3,6,0,0,0,0,0,0
Endothelial cells (aorta),0,0,0,0,0,0,3,0,0,0,0,0,0
Schwann cells,0,0,0,0,0,3,34,0,0,0,0,0,0
Neural stem/precursor cells,0,0,0,0,0,0,7,0,0,0,0,0,0
Tuft cells,0,0,0,0,0,1,5,0,0,0,0,0,0
Sertoli cells,0,0,0,0,0,1,1,0,0,0,0,0,0
Podocytes,0,0,0,0,0,0,10,0,0,0,0,0,0
Stromal cells,0,0,0,0,0,1,4,0,0,0,0,0,0
Noradrenergic neurons,0,0,0,0,0,0,2,0,0,0,0,0,0
Granulosa cells,0,0,0,0,0,0,2,0,0,0,0,0,0
Osteoclasts,0,0,0,0,0,2,2,0,0,0,0,0,0
Melanocytes,0,0,0,0,0,0,1,0,0,0,0,0,0
